[2024-09-21 16:48:31,892] 	 [INFO] 	 werkzeug:  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://localhost:8080
[2024-09-21 16:48:31,892] 	 [INFO] 	 werkzeug:  [33mPress CTRL+C to quit[0m
[2024-09-21 16:48:31,893] 	 [INFO] 	 werkzeug:   * Restarting with stat
[2024-09-21 16:48:32,429] 	 [WARNING] 	 werkzeug:   * Debugger is active!
[2024-09-21 16:48:32,434] 	 [INFO] 	 werkzeug:   * Debugger PIN: 769-485-146
[2024-09-21 16:48:36,492] 	 [DEBUG] 	 controllers.flight_controller:  /flights/price api called: params: {'origin': 'JFK', 'destination': 'LAX', 'date': '2024-09-24', 'nocache': 'truess'}
[2024-09-21 16:48:36,506] 	 [DEBUG] 	 integration.amadeus.flight_offers_cache:  AMADEUS flight offers not found in cache for params: {'origin_location_code': 'JFK', 'destination_location_code': 'LAX', 'departure_date': '2024-09-24'}
[2024-09-21 16:48:36,508] 	 [DEBUG] 	 integration.amadeus.auth_token_cache:  AMADEUS access token not found in cache, generating token
[2024-09-21 16:48:36,508] 	 [DEBUG] 	 integration.amadeus.auth_token:  fetching AMADEUS Access Token: url: https://taest.api.amadeus.com/v1/security/oauth2/token
[2024-09-21 16:48:36,515] 	 [DEBUG] 	 urllib3.connectionpool:  Starting new HTTPS connection (1): taest.api.amadeus.com:443
[2024-09-21 16:48:37,815] 	 [ERROR] 	 integration.amadeus.auth_token:  AMADEUS Access Token fetch failed with error: None url: https://taest.api.amadeus.com/v1/security/oauth2/token payload: {'grant_type': 'client_credentials', 'client_id': 'KDzdGffAcDALOLdXrd1BK1xWP6LmUoro', 'client_secret': 'Ateg3JNMLLmVefig'} header: {'Content-Type': 'application/x-www-form-urlencoded'}
[2024-09-21 16:48:37,816] 	 [DEBUG] 	 controllers.flight_controller:  /flights/price api success: params: {'origin': 'JFK', 'destination': 'LAX', 'date': '2024-09-24', 'nocache': False} resp: <Response 57 bytes [400 BAD REQUEST]>
[2024-09-21 16:48:37,817] 	 [INFO] 	 werkzeug:  127.0.0.1 - - [21/Sep/2024 16:48:37] "[31m[1mGET /flights/price?origin=JFK&destination=LAX&date=2024-09-24&nocache=truess HTTP/1.1[0m" 400 -
[2024-09-21 16:49:04,019] 	 [INFO] 	 werkzeug:  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://localhost:8080
[2024-09-21 16:49:04,019] 	 [INFO] 	 werkzeug:  [33mPress CTRL+C to quit[0m
[2024-09-21 16:49:04,020] 	 [INFO] 	 werkzeug:   * Restarting with stat
[2024-09-21 16:49:04,525] 	 [WARNING] 	 werkzeug:   * Debugger is active!
[2024-09-21 16:49:04,531] 	 [INFO] 	 werkzeug:   * Debugger PIN: 769-485-146
[2024-09-21 16:49:08,645] 	 [DEBUG] 	 controllers.flight_controller:  /flights/price api called: params: {'origin': 'JFK', 'destination': 'LAX', 'date': '2024-09-24', 'nocache': 'truess'}
[2024-09-21 16:49:08,657] 	 [DEBUG] 	 integration.amadeus.flight_offers_cache:  AMADEUS flight offers not found in cache for params: {'origin_location_code': 'JFK', 'destination_location_code': 'LAX', 'departure_date': '2024-09-24'}
[2024-09-21 16:49:08,660] 	 [DEBUG] 	 integration.amadeus.auth_token_cache:  AMADEUS access token not found in cache, generating token
[2024-09-21 16:49:08,660] 	 [DEBUG] 	 integration.amadeus.auth_token:  fetching AMADEUS Access Token: url: https://taest.api.amadeus.com/v1/security/oauth2/token
[2024-09-21 16:49:08,677] 	 [DEBUG] 	 urllib3.connectionpool:  Starting new HTTPS connection (1): taest.api.amadeus.com:443
[2024-09-21 16:49:08,678] 	 [ERROR] 	 integration.amadeus.auth_token:  AMADEUS Access Token fetch failed with error: None url: https://taest.api.amadeus.com/v1/security/oauth2/token payload: {'grant_type': 'client_credentials', 'client_id': 'KDzdGffAcDALOLdXrd1BK1xWP6LmUoro', 'client_secret': 'Ateg3JNMLLmVefig'} header: {'Content-Type': 'application/x-www-form-urlencoded'}
[2024-09-21 16:49:08,679] 	 [DEBUG] 	 controllers.flight_controller:  /flights/price api success: params: {'origin': 'JFK', 'destination': 'LAX', 'date': '2024-09-24', 'nocache': False} resp: <Response 57 bytes [400 BAD REQUEST]>
[2024-09-21 16:49:08,680] 	 [INFO] 	 werkzeug:  127.0.0.1 - - [21/Sep/2024 16:49:08] "[31m[1mGET /flights/price?origin=JFK&destination=LAX&date=2024-09-24&nocache=truess HTTP/1.1[0m" 400 -
[2024-09-21 16:49:25,376] 	 [INFO] 	 werkzeug:   * Detected change in '/Users/Dishant/dishant/apps/pathfindr/config/env.py', reloading
[2024-09-21 16:49:25,446] 	 [INFO] 	 werkzeug:   * Restarting with stat
[2024-09-21 16:49:26,059] 	 [WARNING] 	 werkzeug:   * Debugger is active!
[2024-09-21 16:49:26,063] 	 [INFO] 	 werkzeug:   * Debugger PIN: 769-485-146
